week,week_start,channel,impressions,clicks,spend_usd,leads
0,2026-08-10,Search,40112,1191,896.70,77
0,2026-08-10,Social,61944,673,654.02,37
0,2026-08-10,Video,91751,552,717.93,23
1,2026-08-17,Search,43325,1225,857.99,78
1,2026-08-17,Social,66514,857,793.32,50
1,2026-08-17,Video,86710,533,792.52,21
2,2026-08-24,Search,43854,1336,907.95,86
2,2026-08-24,Social,62125,813,773.33,48
2,2026-08-24,Video,96826,631,820.87,23
3,2026-08-31,Search,46263,1340,957.16,94
3,2026-08-31,Social,67087,736,664.31,41
3,2026-08-31,Video,92581,526,753.34,18
